name,class,z,u-r,x_c,y_c,ns,r_s,q,phi,psi_11,psi_12,psi_22,psi_111,psi_112,psi_122,psi_222,rchi2,F1_fit,F2_fit,a,Q111,Q112,Q122,Q222,F1_HOLICs,F2_HOLICs,mask_flag,checkFit_flag,noisemap_masked_mean,noisemap_masked_stdv,noisemap_masked_skew,noisemap_masked_kurtosis
COSMOS_1801,spiral,1.21,1.22,-1.243390668,-1.831592282,0.740418095,7.403753763,1.393997372,0.874300608,0,0,0,-0.010980035,0.007967738,0.000315756,0.002333228,0.3363989,-0.00533214,0.005150483,13.58959035,183.1235671,-15.40751639,-25.69752502,45.39950011,0.002142954,0.000719201,0,0,0.000456843,0.001181506,2.208993332,2.909524277
COSMOS_1885,early,0.6668,1.28,-2.091250785,-1.977178042,1.436537994,1.051187747,1.152432475,1.050535671,0,0,0,0.000433286,0.009330686,-0.001083404,-0.012506714,0.328125616,-0.000325059,-0.001588014,7.253505793,-40.22343036,-28.85104122,5.684792454,45.62012903,-0.009688852,-0.000626719,0,0,0.000130041,0.00061949,4.572967371,19.01087286
COSMOS_2244,early,0.99,2.4,-2.539300799,-1.655690848,1.381818649,1.444513934,1.491998254,0.541085,0,0,0,0.004675167,-0.002543022,0.004875511,-0.005030324,1.369497805,0.004775339,-0.003786673,9.96348703,7.542492484,-9.849567997,-3.890178086,4.461567693,0.000206746,-3.49E-05,0,0,0.000252025,0.000843438,3.058464967,7.394664797
COSMOS_2413,early,0.16,2.14,-3.024729282,-2.430036177,2.618412721,0.173894202,1.079571039,0.079070016,0,0,0,0.006257054,0.000826795,0.002050866,0.001439874,0.681038234,0.00415396,0.001133334,15.50485927,181.7249534,-29.83013515,18.21419055,-34.43205729,0.001201567,-0.000431309,0,0,0.000532438,0.00111538,1.62405439,0.655112169
COSMOS_2069,early,0.759,1.37,-2.760009029,-1.233843563,1.394624301,1.114913018,1.12849569,0.711124398,0,0,0,0.037462818,-0.008545031,0.004290912,-0.029360611,0.362779697,0.020876865,-0.018952821,7.186269977,65.93715556,-5.161031479,6.668560824,-30.41479259,0.010215548,-0.005755668,0,1,0.000128316,0.000616365,4.614617035,19.39447504
COSMOS_2241,early,1.06,2.23,-2.740285936,-1.286471447,1.988856724,0.507969307,1.14607995,0.472040248,0,0,0,-0.000838655,-0.0030156,0.005082239,-0.001199333,0.456559932,0.002121792,-0.002107466,10.1109796,-2.991670935,-15.36740863,25.538941,24.09624173,0.001186085,0.000344018,0,0,0.000232411,0.000813308,3.224682215,8.442082558
COSMOS_2154,spiral,1.24,0.69,-1.276751445,0.083338478,0.796852471,2.124412286,1.921602216,0.77829392,0,0,0,-0.001275362,-0.025052747,0.005017173,-0.034155177,0.426611463,0.001870906,-0.029603962,6.671352945,-27.51461846,-21.41594574,-28.44507512,-37.04978288,-0.008692874,-0.006255756,0,1,0.000118344,0.00059186,4.814246421,21.24767515
COSMOS_2178,spiral,3.04,0.84,-2.962525006,-2.556705169,0.924841663,2.255873796,2.218358962,0.665431906,0,0,0,0.013811101,0.005615508,0.006135591,0.003167543,0.382357585,0.009973346,0.004391525,8.416928544,104.7090731,30.48880831,48.0078887,0.192831371,0.014069772,-0.008943639,0,1,0.000191157,0.000774344,3.824341985,12.71719966
COSMOS_2513,spiral,1.22,1.43,-0.424456824,-1.829473762,0.801378429,11.49282256,1.168701973,-1.129706935,0,0,0,-0.002700759,-0.001625805,-0.004431592,0.000188453,0.376925323,-0.003566176,-0.000718676,17.87177295,-18.73947191,-195.8527337,-183.3645475,648.4896882,-0.002792755,0.003747035,0,0,0.001195873,0.001920765,1.002128027,-0.950090517
COSMOS_2293,spiral,0.25,1.49,-1.904563883,-2.304073482,1.414211845,1.18839309,1.574491455,-1.425748531,0,0,0,0.001672042,0.008437194,-0.005798139,0.012103719,0.357303157,-0.002063049,0.010270456,8.696279762,-24.23579344,-21.07946425,-21.98099851,17.14461437,-0.007386674,-0.002376893,0,1,0.000187786,0.000794808,4.018432495,14.25099126
